iter	Passed	Remaining
0	0	67
1	1	60
2	1	56
3	2	52
4	2	51
5	3	50
6	3	49
7	4	49
8	4	48
9	5	47
10	5	47
11	6	46
12	6	45
13	7	45
14	7	44
15	8	44
16	8	43
17	9	42
18	9	42
19	10	41
20	10	41
21	11	40
22	12	40
23	12	39
24	13	39
25	13	38
26	14	37
27	14	37
28	15	36
29	15	36
30	16	35
31	16	35
32	17	34
33	17	34
34	18	33
35	18	33
36	19	32
37	19	32
38	20	31
39	20	31
40	21	30
41	21	29
42	21	29
43	22	28
44	22	28
45	23	27
46	23	27
47	24	26
48	25	26
49	25	25
50	26	25
51	26	24
52	27	24
53	27	23
54	28	22
55	28	22
56	29	21
57	29	21
58	30	20
59	30	20
60	31	19
61	31	19
62	32	19
63	32	18
64	33	18
65	34	17
66	34	17
67	35	16
68	35	16
69	36	15
70	37	15
71	37	14
72	38	14
73	38	13
74	39	13
75	40	12
76	40	12
77	41	11
78	41	11
79	42	10
80	43	10
81	43	9
82	44	9
83	44	8
84	45	8
85	45	7
86	46	6
87	47	6
88	47	5
89	48	5
90	48	4
91	49	4
92	50	3
93	50	3
94	51	2
95	51	2
96	52	1
97	52	1
98	53	0
99	54	0
