iter	Passed	Remaining
0	143	143068
1	144	72300
2	146	48652
3	147	36838
4	149	29731
5	150	24977
6	152	21622
7	153	19076
8	155	17092
9	156	15507
10	158	14212
11	159	13137
12	160	12220
13	162	11430
14	163	10746
15	165	10156
16	166	9644
17	168	9195
18	169	8771
19	171	8387
20	172	8041
21	173	7728
22	175	7447
23	176	7182
24	177	6938
25	179	6708
26	180	6506
27	181	6313
28	183	6133
29	184	5968
30	185	5797
31	186	5644
32	187	5506
33	189	5375
34	190	5251
35	191	5132
36	193	5024
37	194	4916
38	195	4817
39	196	4721
40	197	4630
41	199	4545
42	200	4463
43	201	4384
44	202	4297
45	203	4218
46	204	4149
47	205	4084
48	207	4020
49	208	3952
50	208	3886
51	209	3826
52	210	3762
53	211	3704
54	212	3652
55	213	3604
56	214	3556
57	216	3508
58	216	3459
59	217	3413
60	219	3371
61	220	3331
62	221	3292
63	222	3253
64	223	3214
65	224	3171
66	224	3132
67	225	3097
68	227	3064
69	228	3032
70	229	2998
71	229	2961
72	230	2924
73	230	2890
74	231	2858
75	232	2829
76	233	2801
77	234	2773
78	235	2746
79	236	2717
80	237	2691
81	238	2665
82	238	2636
83	239	2612
84	240	2588
85	241	2563
86	241	2537
87	242	2512
88	242	2487
89	243	2463
90	244	2439
91	244	2416
92	245	2394
93	246	2371
94	246	2349
95	247	2327
96	247	2305
97	248	2284
98	248	2264
99	249	2244
100	249	2224
101	250	2205
102	251	2187
103	251	2168
104	252	2150
105	252	2132
106	253	2114
107	253	2097
108	254	2080
109	255	2063
110	255	2047
111	256	2030
112	256	2015
113	257	1999
114	257	1984
115	258	1969
116	258	1953
117	259	1939
118	260	1925
119	260	1911
120	261	1897
121	261	1883
122	262	1870
123	262	1857
124	263	1844
125	264	1831
126	264	1818
127	265	1805
128	265	1793
129	266	1781
130	266	1769
131	267	1758
132	267	1746
133	268	1735
134	269	1723
135	269	1712
136	270	1701
137	270	1690
138	271	1680
139	271	1670
140	272	1659
141	272	1648
142	273	1638
143	273	1628
144	274	1618
145	275	1608
146	275	1598
147	276	1589
148	276	1579
149	277	1570
150	277	1561
151	278	1552
152	278	1543
153	279	1535
154	280	1526
155	280	1518
156	281	1509
157	281	1501
158	282	1493
159	282	1485
160	283	1476
161	283	1468
162	284	1460
163	285	1452
164	285	1445
165	286	1437
166	286	1430
167	287	1423
168	287	1415
169	288	1408
170	289	1401
171	289	1394
172	290	1387
173	290	1380
174	291	1373
175	291	1366
176	292	1359
177	292	1352
178	293	1346
179	294	1339
180	294	1333
181	295	1327
182	295	1320
183	296	1314
184	296	1308
185	297	1302
186	298	1296
187	298	1290
188	299	1284
189	299	1277
190	300	1272
191	300	1266
192	301	1260
193	302	1256
194	303	1251
195	303	1246
196	304	1242
197	305	1239
198	306	1233
199	307	1228
200	307	1224
201	308	1219
202	309	1214
203	310	1210
204	310	1205
205	311	1200
206	312	1195
207	312	1191
208	313	1186
209	314	1182
210	315	1178
211	315	1173
212	316	1169
213	317	1164
214	318	1161
215	319	1158
216	319	1153
217	320	1148
218	320	1144
219	321	1139
220	322	1135
221	322	1131
222	323	1127
223	324	1122
224	324	1118
